,or2228,or2334,or3469,or4334,or1995,or4411,or4333,or1205,or4412,or3680,or2123,or757,or4486,or285,or1134,or2738,or4413,or2900,or1417,or4379,or4360,or2099,or636,or4249,or2548,or356,or2115,or1416,or2052,or2065,or1133,or2128,or4380,or2066,or4293,or4492,or4332,or2112,or4259,or3398,or2057,or2124,or2147,or4392,or3115,or191,or474,or922,or4322,or2337,or3021,or2,or2222,or2549,or2086,or2617,or4256,or639,or4358,or2266,or2831,or1885,or1983,or4399,or2068,or70,or2620,or2148,or4376,or3186,or2029,or4149,or4387,or2832,or4247,or2135,or4363,or2094,or4316,or4321,or568,or1992,or1985,or353,or284,or2096
f1,-0.737797499,-1,-1,-1,-0.757966922,-1,-1,-0.71924163,-1,-1,-0.908834207,-0.669717398,-1,-0.315156405,-0.157724889,-1,-1,-1,-0.152884228,-1,-1,-0.746672045,-0.801774909,-1,-1,-0.731423961,-0.841871722,0.096409843,-0.723275514,-0.909640984,0.09963695,-0.831366759,-1,-0.941912061,-1,-1,-1,-0.766034691,-1,-1,-0.730536507,-0.889471561,-0.896732553,-1,-1,-0.695280355,-0.690119703,-0.724679306,-1,-1,-1,-0.343245915,-0.78019445,-1,-0.878176684,-1,-1,-0.727712787,-1,-1,-1,-0.251311013,-0.106091166,-1,-0.819281969,-0.805486083,-1,-0.816054861,-1,-1,-0.640984268,-1,-1,-1,-1,-0.891085115,-1,-0.800535554,-1,-1,-0.304971735,-0.92900363,-0.72972973,-0.804275918,0.004598628,-0.948366277
f2,-0.738673139,-1,-1,-1,-0.758899676,-1,-1,-0.720873786,-1,-1,-0.908576052,-0.670500067,-1,-0.317061836,-0.161812298,-1,-1,-1,-0.152912621,-1,-1,-0.746763754,-0.802427184,-1,-1,-0.732200647,-0.84223301,0.101132686,-0.722491909,-0.909385113,0.095469256,-0.83169838,-1,-0.941747573,-1,-1,-1,-0.76618123,-1,-1,-0.729773463,-0.889158576,-0.897249191,-1,-1,-0.695631068,-0.69087092,-0.725420712,-1,-1,-1,-0.339846031,-0.782874315,-1,-0.877831715,-1,-1,-0.728802589,-1,-1,-1,-0.261326861,-0.120550162,-1,-0.819579288,-0.805582524,-1,-0.815533981,-1,-1,-1,-1,-1,-1,-1,-0.891585761,-1,-0.801596982,-1,-1,-0.307690428,-0.928802589,-0.728964401,-0.804288026,-0.000404531,-0.948220065
f3,-0.267523722,-1,-1,-1,-0.202020202,-1,-1,-0.288644016,-1,-1,-0.268441996,-0.240540217,-1,-0.321097274,-0.28711356,-1,-1,-1,-0.707070707,-1,-1,-0.256198347,-0.376492195,-1,-1,-0.330578512,-0.254973982,-0.663911846,-0.313131313,-0.466789103,-0.225589226,-0.198266934,-1,-0.497398225,-1,-1,-1,-0.372206918,-1,-1,-0.410162228,-0.397000306,-0.361799816,-1,-1,-0.309152127,-0.279984731,-0.361187634,-1,-1,-1,-0.743313949,-0.094532211,-1,-0.323538414,-1,-1,-0.287725742,-1,-1,-1,-0.094888277,-0.401591674,-1,-0.413835323,-0.410162228,-1,-0.325374962,-1,-1,-0.402816039,-1,-1,-1,-1,-0.295378023,-1,-0.150327702,-1,-1,-0.260023617,-0.235690236,-0.469237833,-0.437710438,-0.296908479,-0.287725742
f4,-0.760840296,-1,-1,-1,-0.768948174,-1,-1,-0.641883657,-1,-1,-0.924752524,-0.550151881,-1,-0.316592143,-0.301735539,-1,-1,-1,-0.342176553,-1,-1,-0.742719259,-0.802848742,-1,-1,-0.633346389,-0.913220267,0.984271976,-0.910501855,-0.938688291,0.932180799,-0.906449546,-1,-0.963822859,-1,-1,-1,-0.890747965,-1,-1,-0.916383692,-0.917249307,-0.915113098,-1,-1,-0.841328331,-0.571977782,-0.615300294,-1,-1,-1,-0.340625928,-0.761210347,-1,-0.915689442,-1,-1,-0.603426039,-1,-1,-1,-0.148920807,-0.342478517,-1,-0.818215727,-0.858660159,-1,-0.908550926,-1,-1,-0.73627548,-1,-1,-1,-1,-0.957904894,-1,-0.901560268,-1,-1,-0.366681977,-0.954787362,-0.866350853,-0.801538358,0.768334725,-0.958802
f5,-0.628451698,-1,-1,-1,-1,-1,-1,-0.488551438,-1,-1,-0.96671349,-0.659922375,-1,-0.614491001,-0.314848346,-1,-1,-1,-0.292930386,-1,-1,-0.789881783,-0.698968059,-1,-1,-0.638946681,-0.988749131,-0.257563246,-0.805666497,-0.900342628,-0.201875236,-0.901375708,-1,-0.965644701,-1,-1,-1,-0.932764818,-1,-1,-0.853642243,-0.937200736,-0.897888573,-1,-1,-0.760212472,-0.736613601,-0.549946314,-1,-1,-1,-0.477346897,-1,-1,-0.931868977,-1,-1,-0.603295637,-1,-1,-1,-1,-0.580189526,-1,-0.848167586,-0.75555107,-1,-0.949027188,-1,-1,-1,-1,-1,-1,-1,-0.962138878,-1,-0.805175283,-1,-1,-0.775470642,-0.943906413,-0.866358863,-0.714869823,0.298549201,-0.943233534
f6,-0.980632754,-1,-1,-1,-1,-1,-1,-0.994575199,-1,-1,-0.996953873,-0.99399423,-1,-0.942166883,-0.933486956,-1,-1,-1,-0.932886867,-1,-1,-0.992454628,-0.99222311,-1,-1,-0.993795987,-0.995525275,-0.979093688,-0.994961063,-0.998078426,-0.976404001,-0.983328775,-1,-0.998270196,-1,-1,-1,-0.994437889,-1,-1,-0.996577043,-0.998190443,-0.995611223,-1,-1,-0.994041701,-0.994393705,-0.994677666,-1,-1,-1,-0.947246835,-0.992589031,-1,-0.997879429,-1,-1,-0.994631207,-1,-1,-1,-0.953313625,-0.932661028,-1,-0.994381364,-0.990566866,-1,-0.994640241,-1,-1,-0.990910658,-1,-1,-1,-1,-0.997139707,-1,-0.998360594,-1,-1,-0.993329701,-0.999176395,-0.996398178,-0.99170484,-0.983403228,-0.99889403
f7,-0.970648771,-1,-1,-1,-0.998235813,-1,-1,-0.997716934,-1,-1,-0.999878928,-0.996584513,-1,-0.924955584,-0.853416815,-1,-1,-1,-0.892315409,-1,-1,-0.990591003,-0.994499888,-1,-1,-0.998270405,-0.99991352,-0.409931335,-0.990781258,-0.9987201,-0.362350174,-0.999792428,-1,-0.992286006,-1,-1,-1,-0.977117457,-1,-1,-0.9957279,-0.993531314,-0.911652282,-1,-1,-0.994811215,-0.996518178,-0.997111576,-1,-1,-1,-0.925485834,-0.987681047,-1,-0.994136673,-1,-1,-0.997647751,-1,-1,-1,-0.976425619,-0.956448795,-1,-0.99944653,-0.99308162,-1,-0.992337894,-1,-1,-0.966411263,-1,-1,-1,-1,-0.99799367,-1,-0.998557222,-1,-1,-0.93022219,-0.999066019,-0.770776761,-0.99308162,-0.517442967,-0.997872598
f8,-0.774704123,-1,-1,-1,-0.716727041,-1,-1,-0.303057226,-1,-1,-0.888469371,-0.076857722,-1,-0.010230671,-0.083658725,-1,-1,-1,-0.213431903,-1,-1,-0.638263383,-0.643757519,-1,-1,-0.272421788,-0.887822844,-0.044646662,-0.919315165,-0.901162673,-0.015723647,-0.887480263,-1,-0.971844484,-1,-1,-1,-0.863788434,-1,-1,-0.89494069,-0.86850835,-0.888912934,-1,-1,-0.746832891,-0.108151707,-0.231610605,-1,-1,-1,0.023349653,-0.698383819,-1,-0.877444807,-1,-1,-0.198347391,-1,-1,-1,-0.289255015,-0.311804832,-1,-0.618850768,-0.74938674,-1,-0.871210726,-1,-1,-0.710201956,-1,-1,-1,-1,-0.94920125,-1,-0.82173781,-1,-1,-0.135846144,-0.935309654,-0.836134951,-0.638899157,0.05400047,-0.963311939
f9,-0.811242178,-1,-1,-1,-0.845859652,-1,-1,-0.873765119,-1,-1,-0.958215359,-0.862271262,-1,-0.611669337,-0.562898229,-1,-1,-1,-0.554183221,-1,-1,-0.848721292,-0.918587005,-1,-1,-0.87678357,-0.944624551,0.959527396,-0.927749245,-0.969452838,0.883418933,-0.936631464,-1,-0.968913986,-1,-1,-1,-0.928480145,-1,-1,-0.945390983,-0.958018905,-0.947923733,-1,-1,-0.919979797,-0.874795129,-0.873014838,-1,-1,-1,-0.6550963,-0.844745524,-1,-0.952227498,-1,-1,-0.873255633,-1,-1,-1,-0.287148315,-0.510474571,-1,-0.947871463,-0.939742585,-1,-0.946394686,-1,-1,-0.809947466,-1,-1,-1,-1,-0.9715918,-1,-0.959496371,-1,-1,-0.616918702,-0.973893152,-0.914717844,-0.91904011,0.658341629,-0.966507507
f10,-0.994268375,-1,-1,-1,-0.999662846,-1,-1,-0.999662846,-1,-1,-1,-0.999642049,-1,-0.9947755,-0.989885367,-1,-1,-1,-0.992245448,-1,-1,-0.998314228,-0.998651382,-1,-1,-0.999662846,-1,-0.985839514,-0.994942684,-0.998988537,-0.984153742,-1,-1,-0.989885367,-1,-1,-1,-0.989885367,-1,-1,-0.997639919,-0.996291301,-0.950438301,-1,-1,-0.998988537,-0.99966064,-0.999662846,-1,-1,-1,-0.99459526,-0.997591754,-1,-0.996628456,-1,-1,-0.999662846,-1,-1,-1,-0.998651382,-0.99696561,-1,-1,-0.997639919,-1,-0.995954147,-1,-1,-0.99393122,-1,-1,-1,-1,-0.997639919,-1,-0.999322303,-1,-1,-0.994419706,-0.998988537,-0.918408631,-0.998314228,-0.986850978,-0.997639919
