,or4378,or4319,or2451,or4434,or2061,or1,or4323,or2095,or3866,or2236,or2059,or4324,or470,or2060,or4359,or2064,or4500,or4354,or1602,or1036,or3583,or753,or2114,or4325,or1319,or2055,or2090,or2080,or2111,or4030,or2734,or1766
f1,-1,-1,-1,-1,-0.867688584,-0.0104881,-1,-0.904800323,-1,-0.337636144,-0.812020976,-1,-0.446066962,-0.916901977,-1,-0.924162969,-1,-1,-0.27551432,-0.310859217,-1,-0.439290036,-0.843485276,-1,-0.298104074,-0.826542961,-0.766034691,-0.765227914,-0.439290036,-1,-1,0.179507866
f2,-1,-1,-1,-1,-0.867313916,-0.015533981,-1,-0.905339806,-1,-0.374595469,-0.811488673,-1,-0.447977346,-0.916666667,-1,-0.924757282,-1,-1,-0.284789644,-0.313673139,-1,-0.441100324,-0.843851133,-1,-0.302588997,-0.82605178,-0.767799353,-0.768608414,-0.444983819,-1,-1,0.180420712
f3,-1,-1,-1,-1,-0.516069789,-0.272421182,-1,-0.168350168,-1,-0.160391797,-0.497398225,-1,-0.254055709,-0.48117539,-1,-0.390878482,-1,-1,-0.009488828,-0.040710132,-1,-0.275482094,-0.369146006,-1,-0.169880624,-0.51637588,-0.261095807,-0.093051729,-0.28466483,-1,-1,-0.543924089
f4,-1,-1,-1,-1,-0.865445204,0.709992373,-1,-0.911936491,-1,-0.494675162,-0.848810799,-1,-0.25863714,-0.950669466,-1,-0.939513139,-1,-1,-0.196463233,-0.218082126,-1,-0.254942775,-0.87744005,-1,-0.206070436,-0.848017928,-0.697987518,-0.659018489,-0.660212432,-1,-1,0.563930707
f5,-1,-1,-1,-1,-0.850011595,-0.033956973,-1,-0.834330692,-1,-0.583596582,-0.801146101,-1,-0.482200063,-0.893435004,-1,-1,-1,-1,-0.141257261,-0.216404763,-1,-1,-0.844557532,-1,-0.186856495,-0.84260656,-0.678593392,-0.721850368,-1,-1,-1,0.506010575
f6,-1,-1,-1,-1,-0.998037904,-0.982420115,-1,-0.99701814,-1,-0.968534452,-0.986669258,-1,-1,-0.998463773,-1,-0.997655138,-1,-1,-0.945899627,-0.935192498,-1,-1,-0.994428081,-1,-0.938998221,-0.995207034,-0.993464584,-1,-1,-1,-1,-0.949902282
f7,-1,-1,-1,-1,-0.997492087,-0.597004341,-1,-0.998771987,-1,-0.960738191,-0.988584672,-1,-0.967137693,-0.995676012,-1,-0.997803414,-1,-1,-0.969991525,-0.977497968,-1,-0.960807375,-0.996143003,-1,-0.975007351,-0.998408773,-0.995399277,-0.997405607,-0.987097221,-1,-1,-0.463911998
f8,-1,-1,-1,-1,-0.722735979,0.078060419,-1,-0.871743674,-1,-0.51081824,-0.715443395,-1,-0.213280016,-0.948138042,-1,-0.916638328,-1,-1,-0.278736517,-0.24139588,-1,-0.264422192,-0.838727108,-1,-0.27727679,-0.711235593,-0.559538291,-0.475078464,-0.636039517,-1,-1,0.318986525
f9,-1,-1,-1,-1,-0.959327713,0.579173017,-1,-0.950125243,-1,-0.606529649,-0.942655026,-1,-0.452397523,-0.963391858,-1,-0.963698725,-1,-1,-0.349044603,-0.391239183,-1,-0.425802918,-0.923098676,-1,-0.361154229,-0.943373006,-0.829227783,-0.819219825,-0.750500824,-1,-1,0.295909132
f10,-1,-1,-1,-1,-0.998988537,-0.988873904,-1,-0.999325691,-1,-0.996291301,-0.996291301,-1,-0.997977073,-0.995954147,-1,-0.998314228,-1,-1,-0.998314228,-0.998651382,-1,-0.997639919,-0.998651382,-1,-0.998651382,-0.999662846,-0.999325691,-0.999662846,-0.998314228,-1,-1,-0.983816588
