,or2098,or2073,or4374,or4315,or4468,or4407,or2063,or4436,or2126,or2110,or4317,or2051,or2155,or4390,or2204,or4362,or4327,or2053,or2143,or4314,or4337
f1,-0.789431222,-0.757160145,-1,-1,-1,-1,-0.469947559,-1,-0.67970956,-0.573215006,-1,-0.783783784,-0.706333199,-1,-0.293263413,-1,-1,-0.753126261,-0.269060105,-1,-1
f2,-0.796116505,-0.758899676,-1,-1,-1,-1,-0.477346278,-1,-0.684466019,-1,-1,-0.784789644,-0.708737864,-1,-0.300970874,-1,-1,-0.753236246,-0.275889968,-1,-1
f3,-0.06305479,-0.374655647,-1,-1,-1,-1,-0.251300888,-1,-0.212121212,-0.486685032,-1,-0.415365779,-0.275788185,-1,-0.338230793,-1,-1,-0.444750536,-0.272727273,-1,-1
f4,-0.690217489,-0.743910761,-1,-1,-1,-1,-0.331839216,-1,-0.621744317,-0.708669051,-1,-0.794624668,-0.75430937,-1,-1,-1,-1,-0.857046591,-0.476575118,-1,-1
f5,-0.468032403,-0.523667877,-1,-1,-1,-1,-0.324310475,-1,-0.673308915,-1,-1,-0.684517336,-1,-1,-1,-1,-1,-0.557107792,-0.454551702,-1,-1
f6,-0.993573245,-0.990318055,-1,-1,-1,-1,-0.987355295,-1,-0.990466464,-0.981078755,-1,-0.992608199,-0.990798384,-1,-1,-1,-1,-0.992999999,-0.97726116,-1,-1
f7,-0.997059688,-0.993738866,-1,-1,-1,-1,-0.992164934,-1,-0.995831676,-0.996644586,-1,-0.99590086,-0.996246779,-1,-1,-1,-1,-0.998564436,-0.935866614,-1,-1
f8,-0.548701905,-0.664667496,-1,-1,-1,-1,-0.171029268,-1,-0.536183339,-0.688847071,-1,-0.704383212,-0.803293793,-1,-1,-1,-1,-0.787644746,-0.418887059,-1,-1
f9,-0.824587492,-0.838564159,-1,-1,-1,-1,-0.558580075,-1,-0.747708486,-0.785555839,-1,-0.882180308,-0.790459243,-1,-1,-1,-1,-0.92084519,-0.625346877,-1,-1
f10,-0.999662846,-0.998988537,-1,-1,-1,-1,-0.999325691,-1,-0.999325691,-0.999325691,-1,-0.998988537,-0.999325691,-1,-1,-1,-1,-0.999662846,-0.994268375,-1,-1
f11,0.234573661,0.10952992,-1,-1,-1,-1,0.051207279,-1,0.039076169,-0.095065905,-1,0.219643065,-0.321591042,-1,-1,-1,-1,0.25883588,-0.059139158,-1,-1
f12,-0.0586,0.048,-1,-1,-1,-1,0.0984,-1,0.109,0.2238,-1,-0.0462,0.418,-1,-1,-1,-1,-0.0794,0.19,-1,-1
f13,-0.997059688,-0.993738866,-1,-1,-1,-1,-0.992164934,-1,-0.995831676,-0.996644586,-1,-0.99590086,-0.996246779,-1,-1,-1,-1,-0.998564436,-0.935866614,-1,-1
f14,-1,-1,-1,-1,-1,-1,-0.987101449,-1,-0.874176548,-1,-1,-1,-0.998155468,-1,-1,-1,-1,-1,-0.980500659,-1,-1
f15,-0.674364167,-0.678662495,-1,-1,-1,-1,-0.574916064,-1,-0.704308722,-0.743113459,-1,-0.68481014,-0.926151756,-1,-1,-1,-1,-0.785907404,-0.670449922,-1,-1
f16,-0.848458711,-0.837820631,-1,-1,-1,-1,-0.729016491,-1,-0.751278418,-0.663832584,-1,-0.895919331,-0.873205594,-1,-1,-1,-1,-0.889737745,-0.723368862,-1,-1
f17,-0.448717512,-0.829108333,-0.992230521,-0.986001581,-0.989136302,-0.982130092,0.519769277,-0.972369786,-0.350857831,-0.740659241,-0.973865428,-0.938817545,-0.566676886,-0.981680534,-1,-0.973353237,-0.957448734,-0.923763781,-0.038770992,-0.968870324,-0.98372012
f18,-0.775980789,-0.82039922,-0.90468374,-0.868174362,-0.910348171,-0.858184377,-0.708047426,-0.904164753,-0.794074741,-0.744193306,-0.789092646,-0.936950323,-0.853168243,-0.751232213,-1,-0.958153768,-0.920311992,-0.955665616,-0.673042173,-0.896817385,-0.919025121
f19,-0.91967232,-0.962008122,-0.961077049,-0.952541105,-0.976076526,-0.96100148,-0.581903109,-0.965182323,-0.826841308,-0.948173212,-0.912071028,-0.93238051,-0.930045593,-0.933878408,-1,-0.984570228,-0.964078299,-0.98217734,-0.775447516,-0.964348599,-0.941274942
f20,-0.85246054,-0.858004736,-0.845581392,-0.815701554,-0.922949746,-0.891353229,-0.663230504,-0.881872209,-0.827901611,-0.832550734,-0.591908193,-0.88473366,-0.855382154,-0.771093662,-1,-0.935157085,-0.826648625,-0.960087446,-0.622637049,-0.863585374,-0.698971426
f21,-0.790474948,-0.934457203,-0.974413488,-0.993451546,-0.958816912,-0.984121863,-0.611800626,-0.976586507,-0.866722338,-0.863105428,-0.976273644,-0.86973382,-0.852296451,-0.98548736,-1,-0.996648682,-0.992713077,-0.919363257,-0.729201461,-0.986599104,-0.98205207
f22,-0.881233172,-0.742332221,-0.953832564,-0.969820328,-0.98364688,-0.970559209,-0.612318076,-0.965364197,-0.820002606,-0.627250394,-0.991293545,-0.896568731,-0.692069804,-0.988767206,-1,-1,-0.993319829,-0.894115166,-0.834134645,-0.980684654,-0.944651842
f23,-0.75786013,-0.845709694,-0.995722158,-0.997900592,-0.998359441,-0.997027827,-0.450641822,-0.994057021,-0.722668005,-0.829349405,-0.995356743,-0.889210602,-0.808750372,-0.998978803,-1,-0.999072216,-0.995568082,-0.965630318,-0.571802437,-0.997708949,-0.991122014
f24,-0.906948606,-0.886391109,-0.955893974,-0.984721898,-0.91708182,-0.989395595,-0.732870357,0.795695178,-0.792766471,-0.925580183,-0.966844396,-0.919197458,-0.914772373,-0.991779979,-1,-0.995407016,-0.906225891,-0.959691626,-0.78924317,-0.966742352,-0.93467958
f25,-0.94518294,-0.948122357,-0.971351231,-0.950439779,-0.9596606,-0.936342101,-0.733787539,-0.901632138,-0.794915701,-0.896788533,-0.906874677,-0.935383024,-0.830620973,-0.934832428,-1,-0.906133346,-0.850007042,-0.95504421,-0.724470089,-0.889848413,-0.941825144
f26,-0.692840815,-0.845087602,-0.992611774,-0.990324591,-0.993487199,-0.989640147,-0.518461377,-0.99276148,-0.73452128,-0.76280907,-0.985158314,-0.886509584,-0.867850306,-0.982478522,-1,-0.997083099,-0.99433765,-0.943553664,-0.370382636,-0.992496284,-0.993463457
f27,-0.843334547,-0.962701129,-0.996336123,-0.995763792,-0.997821387,-0.996426472,-0.835638879,-0.996565581,-0.968227157,-0.962424463,-0.992095469,-0.968387332,-0.955056425,-0.99423916,-1,-0.99860454,-0.99658274,-0.99434292,-0.935595195,-0.9967648,-0.994292337
f28,-0.743645411,-0.749036499,-0.837707784,-0.84045648,-0.863344134,-0.904486194,-0.32740962,0.734711668,-0.638119719,-0.654758452,-0.6473397,-0.799734267,-0.627997534,-0.811672128,-1,-0.944581953,-0.7773523,-0.798796384,-0.322334633,-0.861845453,-0.702508341
f29,-0.795467051,-0.708748966,-0.998243432,-0.997745254,-0.999064357,-1,-0.263323568,-1,-0.473383604,-0.637923561,-0.99369689,-0.789448121,-0.611573068,-0.976431113,-1,-1,-0.998495776,-0.794286628,-0.310909387,-0.999823321,-0.998336646
f30,-0.907168871,-0.931396198,-0.995039618,-0.995967059,-0.997108233,-0.993878549,-0.749360157,-0.99053509,-0.824974643,-0.882594689,-0.996597535,-0.921663224,-0.757768774,-0.989229104,-1,-0.984679202,-0.993490362,-0.941938501,-0.746574803,-0.991233566,-0.994997401
f31,-0.752436306,-0.755143312,-0.999393597,-0.997963442,-0.999779947,-0.999880516,-0.494355096,-0.998716413,-0.644175955,-0.626210191,-1,-0.840776274,-0.665262739,-0.999583734,-1,-1,-0.997997584,-0.862460191,-0.578479299,-0.99853537,-0.997123453
f32,-0.720207254,-0.769430052,-0.981770058,-0.970247412,-0.969033613,-0.984069815,-0.341968912,-0.97330046,-0.629533679,-0.720207254,-0.975375933,-0.803108808,-0.766839378,-0.95053108,-1,-0.978916471,-0.975627275,-0.857512953,-0.484455959,-0.966017337,-0.985105674
f33,-0.826689721,-0.83642817,-0.990001627,-0.98839594,-0.990055117,-0.98991136,-0.511884377,-0.983920192,-0.787251196,-0.816181398,-0.988629517,-0.86894401,-0.849435086,-0.968349013,-1,-0.978607231,-0.987046376,-0.909038371,-0.690807256,-0.983128947,-0.990554537
f34,0.129055166,0.336716607,-1,-1,-1,-1,0.401784013,-1,-1,0.244294333,-1,0.253612771,0.213891054,-1,-1,-1,-1,0.214318293,0.132103577,-1,-1
f35,-0.921364677,-0.827566281,-0.998544915,-0.999682549,-0.993020466,-1,-0.616670134,-1,-0.953308832,-0.758407877,-1,-0.923999723,-0.900561681,-0.99765317,-0.830016411,-0.985425916,-1,-0.868802441,-0.603864734,-0.999617905,-0.999975825
f36,-0.763868288,-0.789380006,-0.999921876,-0.977735644,-0.99655137,-1,-0.615544349,-1,-0.655295165,-0.550281815,-0.974075402,-0.794126372,-0.712844853,-1,-0.43636903,-1,-1,-0.838030258,-0.518243845,-0.999973836,-1
f37,-0.731967625,-0.859035835,-0.998766938,-0.997125203,-0.993250328,-0.997680919,-0.861593293,-1,-0.313374081,-0.823177581,-0.996131207,-0.715236684,-0.704394824,-0.993954754,-0.583838848,-0.998748155,-0.99134482,-0.811652398,-0.815307562,-0.976622423,-0.995604543
f38,-0.599581809,-0.584945112,-0.990829323,-0.998623596,-0.99725552,-0.999842749,-0.360167277,-0.998416196,-0.411395714,-0.319393623,-0.997208889,-0.686356508,-0.590172504,-1,-0.081024569,-0.996653267,-0.982776085,-0.714584422,-1,-0.997912257,-0.97611428
f39,-0.53653015,-0.781024902,-0.996327286,-0.99679926,-0.998115623,-0.996572308,-0.848116896,-0.995408169,0.147149619,-0.743568636,-0.99592248,-0.624408314,-0.625025725,-0.993019133,-0.507923441,-0.998233649,-0.996816803,-0.802016876,-1,-0.997550683,-0.995585617
f40,-0.623188406,-0.670289855,-0.835430756,-0.839559141,-0.877494276,-0.841152803,-0.31884058,-0.803734039,-0.485507246,-0.40942029,-0.795677764,-0.666666667,-0.384057971,-0.66784187,0.09057971,-0.907833223,-0.817887851,-0.778985507,-1,-0.770648637,-0.787911877
f41,-0.685763707,-0.597913827,-0.956492654,-0.954080272,-0.950230316,-0.955891028,-0.247877136,-0.957476613,-0.582084076,-0.510221197,-0.679978471,-0.681255897,-0.6128525,-0.87957038,-0.288290177,-0.991044458,-0.93421422,-0.665059231,-0.14964881,-0.929816917,-0.933093867
f42,-0.955545223,-0.946273935,-0.999349743,-0.998836019,-0.999501546,-0.998945845,-0.949473057,-0.999319788,-0.958880444,-0.954547054,-0.998323078,-0.9484534,-0.94878197,-0.999235371,-0.961701477,-0.999772731,-0.999293851,-0.949852393,-0.954671319,-0.999403613,-0.998539454
f43,-0.812165872,-0.817945384,-0.99732268,-0.996683446,-0.99760278,-0.99699004,-0.81751192,-0.996367621,-0.815537254,-0.820353513,-0.995166726,-0.818908636,-0.811106295,-0.993423274,-0.814092376,-0.996571154,-0.996737075,-0.817945384,-0.814574002,-0.9961076,-0.99644349
f44,-0.984988059,-0.95769362,-0.991854427,-0.985908769,-0.988530483,-0.981900441,-0.946093483,-0.972031516,-0.991811668,-0.935516888,-0.973522103,-0.979529171,-0.969293756,-0.981471203,-0.949164108,-0.973311324,-0.957353189,-0.944046401,-0.920163767,-0.968681103,-0.983459409
f45,-0.072980501,-0.020612813,-0.992719694,-0.99046592,-0.993582332,-0.989791474,-0.311197772,-0.992867213,-0.191532033,-0.23454039,-0.985375107,-0.024623955,-0.287130919,-0.982734459,-0.37091922,-0.997125706,-0.99442036,0.051587744,-0.177270195,-0.992605891,-0.993558937
