,or2898,or3181,or3464,or4432,or2054,or3747,or1200,or634,or4318,or1483
f1,-1,-1,-1,-1,-0.697458653,-1,0.169826543,0.106010488,-1,0.173860428
f2,-1,-1,-1,-1,-0.701456311,-1,0.169902913,0.106391586,-1,0.175566343
f3,-1,-1,-1,-1,-0.384450566,-1,-0.471686563,-0.468319559,-1,-0.504744414
f4,-1,-1,-1,-1,-0.61346312,-1,0.532466115,0.753273122,-1,0.543531145
f5,-1,-1,-1,-1,-0.419074026,-1,0.351347529,-0.003389929,-1,0.501264696
f6,-1,-1,-1,-1,-0.994434533,-1,-0.937384306,-0.935732449,-1,-0.943062563
f7,-1,-1,-1,-1,-0.994984174,-1,-0.571129599,-0.283947628,-1,-0.521836138
f8,-1,-1,-1,-1,-0.331334386,-1,0.467790584,0.691589099,-1,0.394772674
f9,-1,-1,-1,-1,-0.827267655,-1,0.194860794,0.357818047,-1,0.239238971
f10,-1,-1,-1,-1,-0.999325691,-1,-0.986850978,-0.980445044,-1,-0.985165206
f11,-1,-1,-1,-1,0.46576461,-1,-0.18838213,-0.182549866,-1,-0.234340371
f12,-1,-1,-1,-1,-0.257,-1,0.2964,0.2876,-1,0.3348
f13,-1,-1,-1,-1,-0.994984174,-1,-0.571129599,-0.283947628,-1,-0.521836138
f14,-1,-1,-1,-1,-0.994953887,-1,-0.993109354,-0.994729908,-1,-0.992819499
f15,-1,-1,-1,-1,-0.285468258,-1,0.399128201,0.629145168,-1,0.32994073
f16,-1,-1,-1,-1,-0.845213891,-1,-0.102150206,-0.170311954,-1,-0.150452837
f17,-0.98984676,-0.986087917,-0.984913449,-0.98332932,-0.858243917,-0.985745293,-0.252201065,-0.164083524,-0.968787305,-0.290327122
f18,-0.974187743,-0.948151429,-0.965506731,-0.920968258,-0.876157887,-0.965561552,0.533324328,0.854419931,-0.843584694,0.535134324
f19,-0.983782619,-0.981441336,-0.985732116,-0.977507149,-0.914220299,-0.989956537,-0.376476928,-0.371690697,-0.933291795,-0.284598042
f20,-0.935060449,-0.923587869,-0.958132852,-0.943350421,-0.88068664,-0.966262048,0.583231636,0.886521785,-0.754666483,0.617517154
f21,-0.988286298,-0.992516203,-0.997483481,-0.966192469,-0.812515658,-0.988744082,0.268152401,0.26565762,-0.998539671,0.333475992
f22,-0.982754852,-0.987814856,-0.997174115,-0.98936813,-0.830849783,-0.994082565,0.101613584,0.028574265,-0.989549583,0.060151122
f23,-0.998439633,-0.999158781,-0.999828791,-0.997887851,-0.756793063,-0.999600884,0.070466494,0.225229177,-0.99895068,0.127594649
f24,-0.993227148,-0.996144116,-0.999679825,-0.990405983,-0.891339591,-0.998247522,0.182678048,0.357207189,-0.992857362,0.256177955
f25,-0.963691154,-0.950694702,-0.946823487,-0.939626295,-0.915534986,-0.94929384,-0.35334777,-0.308093576,-0.890177465,-0.315327777
f26,-0.997922772,-0.996189468,-0.997550088,-0.994319635,-0.787429624,-0.997504076,0.38831493,0.471740483,-0.988928583,0.405294065
f27,-0.9984899,-0.998341952,-0.998760568,-0.997909411,-0.959031671,-0.999106865,-0.540990171,-0.388423735,-0.994186661,-0.457247907
f28,-0.942513054,-0.936117142,-0.966636287,-0.946482581,-0.697397376,-0.971748342,0.031118599,0.184163678,-0.799681036,0.069901783
f29,-0.999950878,-0.99913444,-0.99666153,-0.999808847,-0.694018266,-0.999411333,0.164905766,0.29416213,-0.995642028,0.174754924
f30,-0.998635683,-0.995387046,-0.997010685,-0.994809872,-0.927980198,-0.995001211,-0.365906212,-0.319953122,-0.993862709,-0.326228052
f31,-0.99844944,-0.998873566,-0.999497371,-0.998245068,-0.752464172,-0.993828171,-0.182714968,0.192675159,-0.999696051,-0.157937898
f32,-0.991490252,-0.989999657,-0.989994914,-0.957365491,-0.601036269,-0.984148884,0.533678756,0.710310881,-0.976500937,0.533678756
f33,-0.996637298,-0.992403581,-0.99324304,-0.985321109,-0.727442641,-0.990622748,0.129534235,-0.029611316,-0.986578887,0.129534235
f34,-1,-1,-1,-1,0.285759649,-1,0.391449439,0.071598972,-1,0.509944863
f35,-0.998753091,-0.99905938,-0.997085215,-0.999794992,-0.784897025,-0.999431952,-0.706862677,-0.761690128,-0.998756771,-0.706862677
f36,-1,-1,-1,-0.994067819,-0.716404628,-1,-0.407297538,-1,-0.995440521,-0.407297538
f37,-0.999854225,-0.998956449,-0.998131549,-0.994406006,-0.859217305,-0.999674656,-0.600551026,-0.535451076,-0.992171199,-0.599173616
f38,-0.996228996,-0.99778534,-0.995157265,-1,-0.502352326,-0.99759059,1,-1,-0.995869083,0.997909043
f39,-0.998601796,-0.998726528,-0.998379816,-0.998575701,-0.789462852,-0.999076751,-0.379090348,-1,-0.994850332,-0.379707759
f40,-0.938605503,-0.939369132,-0.91880621,-0.907055195,-0.496376812,-0.958416928,0.97826087,-1,-0.735721159,0.97826087
f41,-0.966497031,-0.969239088,-0.980960323,-0.969447884,-0.525684034,-0.984752353,0.477023273,0.220884265,-0.955789914,0.60567093
f42,-0.999713974,-0.999612642,-0.99984308,-0.999280012,-0.949389903,-0.999835062,-0.963697814,-0.969137754,-0.998683529,-0.96056098
f43,-0.998953999,-0.998318419,-0.998583566,-0.996969582,-0.825169773,-0.998398286,-0.816982132,-0.816500506,-0.995908709,-0.816982132
f44,-0.989676472,-0.98598125,-0.984880565,-0.982834221,-0.975093825,-0.98558295,-0.986693961,-0.9860116,-0.968774661,-0.987717503
f45,-0.997953114,-0.996245129,-0.997585874,-0.994402609,0.019275766,-0.997540534,-0.335264624,-0.226963788,-0.989090304,-0.321225627
f46,-0.99723606,-0.99696527,-0.997731465,-0.99617359,0.281848659,-0.998365293,0.670977011,0.554118774,-0.989359828,0.656609195
f47,-0.97755686,-0.97505987,-0.986974669,-0.97910658,-0.43841917,-0.988970437,-0.051615468,0.035829879,-0.921794654,-0.077621941
f48,-1,-0.996389693,-0.998216163,-0.976282117,-0.45475805,-0.997804565,-0.136895125,-0.094441446,-0.983716521,-0.149307429
f49,-0.998100756,-0.995551789,-0.995968288,-0.990357257,-0.628348593,-0.994519388,-0.321125805,-0.234316718,-0.99240243,-0.374703289
f50,-0.988589783,-0.986799958,-0.982751516,-0.982737514,-0.399164284,-0.983929285,0.122498351,0.301077634,-0.980444928,0.086870464
f51,-0.998109361,-0.994051821,-0.996544812,-0.978537742,-0.247520186,-0.996220236,0.945166397,0.994072375,-0.978737814,0.945166397
f52,-0.994305007,-0.990844568,-0.992288173,-0.983500776,-0.611439477,-0.99127941,0.27757224,0.278524733,-0.977724814,0.27757224
f53,-0.901784188,-0.888376512,-0.892345498,-0.876914188,-0.424658807,-0.901856888,0.173963635,0.331852527,-0.754069049,0.173963635
f54,-0.59708563,-0.786049894,-0.696424342,-0.42482725,-0.163725819,-0.929457429,0.973353096,1,-0.192639945,0.973353096
f55,-1,-1,-1,-1,-0.361924211,-1,0.620660313,0.620660313,-1,0.620660313
