,or4246,or2615,or351
f1,-1,-1,0.100524405
f2,-1,-1,0.101375405
f3,-1,-1,-0.498928681
f4,-1,-1,0.490293139
f5,-1,-1,-0.153550442
f6,-1,-1,-0.9338483
f7,-1,-1,-0.804555753
f8,-1,-1,0.674989079
f9,-1,-1,0.057676213
f10,-1,-1,-0.993594066
f11,-1,-1,-0.04770792
f12,-1,-1,0.1798
f13,-1,-1,-0.804555753
f14,-1,-1,-0.993412385
f15,-1,-1,0.603565402
f16,-1,-1,0.028895324
f17,-0.974218741,-0.989804857,-0.167262777
f18,-0.95983693,-0.974081215,1
f19,-0.989985018,-0.983715689,0.144412203
f20,-0.981845486,-0.934792442,-0.575093144
f21,-0.94193961,-0.988237956,0.128914405
f22,-0.982924108,-0.982683681,-0.068513716
f23,-0.997225113,-0.998433193,0.00548928
f24,-0.977969571,-0.993199196,-0.611643886
f25,-0.906331455,-0.963541306,-0.435263802
f26,-0.996925174,-0.997914199,0.279493372
f27,-0.998933092,-0.998483668,-0.638878777
f28,-0.96552218,-0.942275804,-0.000286575
f29,-0.999416679,-0.999950675,0.125091068
f30,-0.999383435,-0.998630052,-0.386170979
f31,-1,-0.998443041,-0.204219745
f32,-0.991054064,-0.991455132,0.493834197
f33,-0.997248115,-0.99662342,-0.160787316
f34,-0.977119123,-1,0.061038885
f35,-0.991322067,-0.998747945,-0.761690128
f36,-1,-1,-1
f37,-0.994576786,-0.999853624,-0.537748159
f38,-0.99922665,-0.996213433,-1
f39,-0.998648678,-0.998596026,-1
f40,-0.906772304,-0.938352126,-1
f41,-0.977348564,-0.966358763,0.118522906
f42,-0.999873585,-0.999712793,-0.951276301
f43,-0.999081411,-0.998949682,-0.816548668
f44,-0.973367651,-0.989633866,-0.983964517
f45,-0.996970088,-0.997944667,-0.171253482
f46,-0.998047236,-0.997224654,0.492576628
f47,-0.986539717,-0.977464237,0.094997445
f48,-0.997163273,-1,-0.049289441
f49,-0.997862219,-0.998092918,-0.183452018
f50,-0.990996702,-0.988542693,0.386848472
f51,-0.995252786,-0.998101558,0.984746585
f52,-0.994998706,-0.994281503,0.252966191
f53,-0.930798792,-0.901378849,0.387553309
f54,0.039785645,-0.752671521,0.985201953
f55,0.962509032,-1,0.620660313
f56,-1,-1,0.692733549
f57,-1,-1,0.470952003
f58,-1,-1,0.360315674
f59,-0.868756479,-0.976125127,0.796944068
f60,-0.866933652,-0.976125127,0.660222746
f61,-0.248773457,-0.779829249,-0.233819455
f62,-0.902157502,-0.959317029,0.331142751
f63,-0.591875296,-0.817648536,0.067405851
f64,-1,-1,0.00666884
f65,-0.565458056,-0.807480548,-0.046887762
f66,-0.951318169,-0.994701769,0.2882662
f67,-0.482818617,-0.836465548,-0.495753
f68,-1,-0.99699176,0.088677182
f69,-0.93691861,-1,0.135765784
f70,-1,-1,0.056003696
f71,-1,-1,-0.077380389
f72,-1,-1,0.16440234
f73,-0.470919243,-0.852982473,0.201725301
f74,-0.46903918,-0.852982473,-0.157206754
f75,-1,0.952812015,0.135667357
f76,-0.110659245,-1,0.483146067
f77,-1,-1,0.722090261
f78,-1,-0.561047127,-0.33966531
f79,0.506056671,-0.242199984,-0.150943396
f80,0.493464986,-0.22684018,0.193119069
f81,0.270760961,-0.04003663,0.152182363
f82,-0.236333994,0.993919215,0.060323005
f83,0.031908785,-0.721039173,0.250441594
f84,-0.625090122,-0.51934608,-0.045152613
f85,0.110827319,-0.202636883,-0.065528455
f86,-0.933965659,-0.92069368,0.010849673
f87,0.212558169,-0.299292855,-0.077411492
f88,-0.407598831,-0.836139436,-0.19554607
f89,-1,0.552263175,0.005769683
f90,-0.365936085,-1,-0.814427487
f91,-1,-1,-0.869899887
f92,-1,-0.787493639,-0.136363636
f93,0.326495841,-0.16911908,0.820344565
f94,0.419720651,-0.008376942,-0.518375781
f95,-0.596015776,-0.836131117,0.094972067
f96,-0.166596383,-0.400214864,-1
f97,-0.315981138,-0.315577159,0.051121076
f98,-0.981564247,-0.99401095,0.539661407
f99,-0.238470472,-0.195813755,-0.221566714
f100,-0.407281645,-0.74042813,0.568783069
f101,-0.072777668,-0.721428688,0.979741642
f102,-0.629504007,-0.484080344,1
f103,-0.186801777,-0.480414497,-0.79485891
f104,0.214752127,-0.565109121,0.86925765
f105,-0.254312932,-0.733303682,0.229813814
f106,-0.697750363,-0.560389893,0.898493964
f107,-0.059533008,-0.427335044,0.984337768
f108,0.227108849,-0.79294911,0.883520118
f109,-0.42689875,-0.797809612,-0.240700688
f110,-0.865897617,-0.927718706,0.21111804
f111,-0.359288634,-0.812068639,0.923962368
f112,-0.186801777,-0.480414497,-0.269486268
f113,-0.335959188,-0.457344952,0.003596593
f114,-0.230525083,-0.457344952,0.98220088
f115,-0.617507557,-0.586204254,-0.103610108
f116,-0.854472248,-0.842673398,-0.865645474
f117,-0.399298673,-0.963165671,-0.136696963
f118,-0.857018849,-0.936285343,0.049522087
f119,-0.245200107,-0.642938164,0.415383755
f120,-0.017211102,-0.636599439,-0.89135255
f121,-0.664303304,-0.543627526,0.575498305
f122,-0.088413862,-0.637383397,-0.02483147
f123,-0.775879627,-0.686078319,-0.816563346
f124,-0.661138737,-1,-0.123796455
f125,-0.509705298,-1,-1
f126,0.257975508,-1,0.626254607
f127,-0.406321689,-0.407808297,0.450477305
f128,-0.914878465,-1,-0.033442647
f129,-0.983875133,-1,-0.171696648
f130,0.306799297,-0.808341202,-0.161524927
f131,0.07423302,-0.842533807,-0.441309648
f132,-0.409651589,-0.397126544,0.250758671
f133,-0.420111422,-0.407808297,-0.100905098
f134,-0.329872532,-0.248948068,-0.971964916
f135,-0.366316199,-0.289792664,-0.971367521
f136,-0.499377332,-0.644783026,0.183951481
f137,-0.499377332,-0.644783026,0.067161177
f138,-0.859835408,-0.844374258,-0.994051643
f139,-0.630842375,-0.543563435,-0.084063047
f140,-0.356306609,-0.489012302,0.23834634
f141,-0.54903838,-0.542603755,-0.971367521
f142,-0.424772784,-0.345983889,-0.995899959
f143,-0.953706033,-0.973993226,0.636332232
f144,-0.75389533,-0.606565543,-0.054151625
f145,-0.409971001,-0.93235856,-0.604510158
f146,-0.721821326,-0.998535863,1
f147,-0.6098245,-0.623867431,0.150697624
f148,-0.633263323,-0.637817124,-0.642183918
f149,-0.62309797,-0.746344227,-0.330238316
f150,-0.760476434,-0.863909474,-0.068513716
f151,-1,-0.515411488,0.013081061
f152,0.147472392,-0.998922368,-0.046782864
f153,-1,-0.916526363,-0.433869391
f154,-0.875592557,-0.751578734,0.310188289
f155,-0.928924527,-0.930636962,-0.89003881
f156,-0.921861223,-0.930643595,0.024723629
f157,-0.913475231,-0.844719509,0.158290476
f158,-0.980044105,-0.986479153,-0.380915593
f159,-0.768790281,-0.976874225,-0.184315287
f160,0.254346834,-0.247230626,0.515181347
f161,-0.816121496,-0.97987218,-0.189959709
f162,-0.166464539,-1,0.056264542
f163,-0.967558486,-0.976279232,-0.959862856
f164,-0.290582856,-0.758044751,0.705728792
f165,-0.273847741,-0.747063345,0.132305273
f166,0.270012798,-0.021200216,-0.354983121
f167,-0.993028956,0.535360328,-0.58840941
f168,-0.918074403,-1,-0.977135981
f169,-0.921591115,-1,-0.330213735
f170,-0.847085307,-1,0.422993492
f171,-0.956673845,-1,0.092594661
f172,-0.87170664,-1,-0.04951712
f173,-0.798695008,-1,-0.180061038
f174,0.010404315,-1,0.385661039
f175,-0.745406914,-1,0.978031054
f176,-0.8088656,-0.602754214,0.283614458
f177,-0.972214623,-1,0.3935554
f178,-0.937693222,0.138645987,0.985121347
f179,-0.954609897,-0.603103143,0.704279256
f180,-0.825419657,-0.712860313,-0.026953944
f181,-0.507250009,-0.274183702,0.379056613
