,or1320,or3584,or754,or68,or3867,or3301,or1037,or2735,or3018,or1886,or4313,or4150,or1603,or471
f1,-0.689390883,-1,-0.731988705,0.095925777,-1,-1,-0.713602259,-1,-1,-0.632916499,-1,-1,-0.649052037,-0.749495764
f2,-0.700647249,-1,-0.740048544,0.095873786,-1,-1,-0.722006472,-1,-1,-0.639967638,-1,-1,-0.66828479,-0.758009709
f3,0.165289256,-1,0.048974594,-0.474441384,-1,-1,0.129476584,-1,-1,0.183348638,-1,-1,0.284052648,0.076522804
f4,0.113710343,-1,0.119186712,0.337968336,-1,-1,0.122821514,-1,-1,0.18756932,-1,-1,0.132168984,0.11656033
f5,-0.012020099,-1,-0.078674445,-0.209557239,-1,-1,-0.062295655,-1,-1,0.180689415,-1,-1,0.003123257,-0.071527046
f6,-0.989009216,-1,-0.989998007,-0.932119012,-1,-1,-0.989237895,-1,-1,-0.98850127,-1,-1,-0.989322295,-0.989988974
f7,-0.991680648,-1,-0.988411713,-0.821851705,-1,-1,-0.988134978,-1,-1,-0.995554941,-1,-1,-0.991386616,-0.987892834
f8,0.808206593,-1,0.957639706,0.806243489,-1,-1,0.885738096,-1,-1,0.766375214,-1,-1,0.794915824,1
f9,-0.45048203,-1,-0.509242994,-0.182824875,-1,-1,-0.473458547,-1,-1,-0.343289902,-1,-1,-0.422474959,-0.530890735
f10,-0.999662846,-1,-0.999662846,-0.993594066,-1,-1,-0.999662846,-1,-1,-0.999662846,-1,-1,-0.999662846,-0.999325691
f11,0.375714452,-1,0.482094949,0.144056923,-1,-1,0.423072437,-1,-1,0.260468914,-1,-1,0.343287064,0.517788405
f12,-0.1796,-1,-0.2708,0.0154,-1,-1,-0.2204,-1,-1,-0.0806,-1,-1,-0.152,-0.3016
f13,-0.991680648,-1,-0.988411713,-0.821851705,-1,-1,-0.988134978,-1,-1,-0.995554941,-1,-1,-0.991386616,-0.987892834
f14,-0.947628458,-1,-0.949301713,-0.993412385,-1,-1,-0.946086957,-1,-1,-0.951396574,-1,-1,-0.951870883,-0.947299078
f15,0.807776172,-1,1,0.6622984,-1,-1,0.914584447,-1,-1,0.714660413,-1,-1,0.789459977,0.977447302
f16,-0.644096687,-1,-0.642309983,0.150062637,-1,-1,-0.633396998,-1,-1,-0.555911527,-1,-1,-0.567042491,-0.587209661
f17,-0.250675024,-0.989634734,-0.310506296,0.090256725,-0.974490526,-0.985764892,-0.304004723,-0.983963741,-0.985071755,-0.127501675,-0.986375268,-0.975691504,-0.24955093,-0.107538236
f18,-0.262812547,-0.988208871,-0.229419181,0.130421732,-0.98390153,-0.996378503,-0.21929161,-0.980085205,-0.981461204,-0.199666817,-0.959792761,-0.994538626,-0.213030167,-0.365450998
f19,-0.570251801,-0.994434503,-0.691153037,-0.801194463,-0.989661164,-0.990375577,-0.686175915,-0.989791965,-0.990497282,-0.382541196,-0.987542951,-0.994774374,-0.551951914,-0.709008289
f20,-0.413986164,-0.968144518,-0.479653771,0.20521607,-0.969292304,-0.968815408,-0.458402366,-0.957906535,-0.960814953,-0.393209572,-0.954684065,-0.973513419,-0.434508175,-0.490839146
f21,-0.452541754,-0.061555843,-0.461069937,0.048538622,-0.393030959,-0.147053583,-0.448830898,-0.398880444,-0.440414382,-0.366205637,-0.990491945,-0.494019688,-0.445151357,-0.493736952
f22,-0.67407906,-0.989550731,-0.714393836,-0.08650446,-0.886164734,-0.948767152,-0.692516471,-0.913676549,-0.919641008,-0.445788925,-0.993291213,-0.77139289,-0.698472027,-0.669652717
f23,-0.138813615,-0.980655115,-0.283867253,-0.363133887,-0.98066913,-0.976321712,-0.180298484,-0.972587006,-0.974481088,0.113638425,-0.99945135,-0.974658192,-0.077020732,-0.296916682
f24,-0.347169747,-0.896143939,-0.483273384,-0.611643886,-0.932247883,-0.879406095,-0.343046012,-0.878490923,-0.886886508,-0.342921394,-0.997473545,-0.911566993,-0.296728768,-0.617081778
f25,-0.739013789,-0.914752129,-0.782145691,-0.660321635,-0.878741729,-0.905591635,-0.757277776,-0.912354586,-0.918410385,-0.63767641,-0.951599785,-0.888216275,-0.712517204,-0.780519808
f26,-0.806492783,-0.999009662,-0.800709214,-0.029071317,-0.997042913,-0.998921558,-0.784085493,-0.997220365,-0.997412422,-0.756863949,-0.997089244,-0.995934338,-0.788415092,-0.801290802
f27,-0.854211867,-0.998086585,-0.862096833,-0.760465963,-0.997677216,-0.997416174,-0.848452858,-0.997088975,-0.99729011,-0.814313797,-0.998888255,-0.997670989,-0.823640335,-0.860939206
f28,-0.655480969,-0.879904871,-0.6783792,-0.05273853,-0.913813263,-0.865135147,-0.6665063,-0.855681643,-0.865653219,-0.563328789,-0.961895367,-0.898243635,-0.615426433,-0.675562078
f29,-0.62883676,-1,-0.623260489,0.036559312,-0.999978275,-0.999970477,-0.632058333,-0.998938266,-0.999011626,-0.558558531,-0.999229131,-0.997418762,-0.590011896,-0.640339741
f30,-0.698015041,-0.999494592,-0.729116412,-0.469206069,-0.99395206,-0.999724428,-0.741308906,-0.997930619,-0.998073602,-0.720886478,-0.996916186,-0.995844286,-0.690447286,-0.758252269
f31,-0.46281051,-1,-0.434410828,-0.204219745,-0.999741483,-1,-0.445,-1,-1,-0.38107086,-0.999911562,-0.998989845,-0.39419586,-0.441878981
f32,0.152849741,-0.994046457,0.159041451,0.314248705,-0.989233156,-0.993197038,0.170984456,-0.990519903,-0.991174924,0.215025907,-0.984724015,-0.980240027,0.155440415,-0.062512953
f33,-0.367393556,-0.998219159,-0.479226131,-0.353947321,-0.991032996,-0.998289678,-0.419870611,-0.995326154,-0.99564909,-0.17060781,-0.993122692,-0.990231892,-0.367393556,-0.554375788
f34,0.036425045,-1,-0.151382697,-0.071563869,-1,-1,-0.064299529,-1,-1,0.289905026,-1,-1,0.15669871,-0.102229843
f35,-0.907680928,-0.998548039,-0.907680928,-0.761690128,-0.999118521,-0.99843648,-0.907680928,-0.998081396,-0.99821396,-0.907680928,-0.998287648,-0.98336741,-0.907680928,-0.907680928
f36,-0.452388015,-1,-0.471966775,-0.474339958,-1,-1,-0.466033818,-1,-1,-0.449421537,-1,-1,-0.451201424,-0.483239395
f37,-0.663229745,-1,-0.709405815,-0.53969413,-1,-1,-0.689470972,-1,-1,-0.60199879,-0.998773581,-0.999400153,-0.619493349,-0.728423572
f38,-0.03711448,-0.997796335,-0.070569786,-1,-0.998572566,-0.996065832,-0.064296916,-0.993826862,-0.994253391,-0.017250392,-0.99524288,-0.996600705,0.038159958,-0.091479352
f39,-0.050833505,-0.998519065,-0.083762091,-1,-0.998809181,-0.998070967,-0.077382177,-0.997681001,-0.997841231,-0.031282157,-0.998463764,-0.998965347,0.023255814,-0.104342457
f40,-0.242753623,-0.935704192,-0.130434783,-1,-0.948496214,-0.916474793,-0.123188406,-0.899562889,-0.906502521,-0.22826087,-0.926636165,-0.941163345,-0.231884058,-0.213768116
f41,0.021731901,-0.966387804,-0.161242232,0.045464409,-0.944730168,-0.896079182,-0.082562984,-0.935764982,-0.940203256,0.26962874,-0.984288387,-0.957536885,0.178847814,-0.239950194
f42,-0.94786135,-0.999710122,-0.953441127,-0.97290619,-0.999680767,-0.999783017,-0.950796993,-0.999715377,-0.999735042,-0.940960752,-0.999857225,-0.999834188,-0.942673677,-0.854323782
f43,-0.806867986,-0.999149038,-0.807831238,-0.814092376,-0.998145849,-0.998902613,-0.807349612,-0.998521195,-0.998623372,-0.81361075,-0.998621895,-0.998184002,-0.807831238,-0.792563695
f44,-0.998635278,-0.975761863,-0.998976459,-0.981917434,-0.965523191,-0.973157301,-0.998635278,-0.97508018,-0.976801998,-0.996929376,-0.986238588,-0.968217045,-0.996929376,-0.998635278
f45,-0.110640669,-0.999024128,-0.051364903,-0.136490251,-0.997086107,-0.998937311,-0.082339833,-0.997260968,-0.997450219,-0.083454039,-0.997131762,-0.995993725,-0.076545961,-0.032200557
f46,0.437978927,-0.996497872,0.374281609,0.454022989,-0.995748602,-0.995270815,0.40756705,-0.994671943,-0.995040081,0.40756705,-0.99796517,-0.995737204,0.400143678,0.353927203
f47,-0.247402192,-0.953114368,-0.278291977,0.093861791,-0.966352344,-0.947348208,-0.257395946,-0.943657521,-0.947550465,-0.097155187,-0.985123795,-0.960273897,-0.097950145,-0.259553688
f48,-0.248066199,-0.999900486,-0.354020507,-0.050368771,-0.99588096,-0.999704972,-0.305630509,-0.999356924,-0.999401357,-0.009174312,-0.998484305,-0.997007946,-0.009534089,-0.35491995
f49,0.232960326,-0.999696318,0.379450661,-0.184130214,-0.995991713,-0.999819095,0.349610037,-0.99872155,-0.998809884,0.23567311,-0.99590675,-0.996767082,0.233638522,0.450661241
f50,-0.723334066,-0.997530473,-0.678909171,0.38552892,-0.992571342,-0.999409051,-0.696943039,-0.99705823,-0.99726149,-0.72729272,-0.986934254,-0.99186279,-0.728172421,-0.650318892
f51,0.705015025,-0.999030262,0.547899737,0.968985418,-0.994479111,-0.998815772,0.595686747,-0.997028311,-0.997233638,0.705015025,-0.996309518,-0.993500027,0.705015025,0.442786725
f52,0.712218909,-0.995366907,0.355560514,0.293877208,-0.989905007,-0.994025236,0.507071705,-0.991948591,-0.992504898,0.712218909,-0.992496859,-0.990112731,0.712218909,0.181289477
f53,0.994960847,-0.896671578,0.57776806,0.35795798,-0.898883404,-0.894366289,1,-0.875953477,-0.884524385,0.994960847,-0.908669193,-0.883273615,0.994960847,0.534493199
f54,-0.46890596,-0.791712344,-0.159088415,0.915260906,-0.426700927,-0.389928122,-0.448502032,-0.454273806,-0.106528285,-0.46890596,-0.662794929,-0.397323177,-0.46890596,-0.144859055
f55,1,-1,1,0.620660313,-1,-1,1,-1,-1,1,-1,-1,1,1
f56,-0.993599733,-0.658301155,0.400295499,0.598265626,-1,-0.632047234,-0.993599733,-1,-1,0.373186279,-1,-1,-0.993599733,0.33833963
f57,0.107422477,-1,-0.047168223,0.320065148,-1,-1,0.142202958,-1,-1,0.249868298,-1,-1,0.294585729,0.320481412
f58,0.397545149,-1,0.148831405,0.248882656,-1,-1,0.251396636,-1,-1,0.800099791,-1,-1,0.615979374,-0.023364152
f59,-0.146884661,-0.766990036,-0.159511862,0.747657525,-0.985200426,-0.779991292,-0.170372556,-0.880814194,-0.889049254,-1,-0.96907221,-0.986364437,-0.137876356,-0.171346749
f60,-1,-0.765281752,-0.702090794,0.465891863,-0.985200426,-0.778151754,-1,-0.880814194,-0.889049254,-0.625303856,-0.96907221,-0.986364437,-1,-0.709701724
f61,-0.446396681,-0.207976269,-0.631114824,-0.287132028,-0.285246872,0.705755418,-0.552260742,0.124919472,0.047193949,-0.446396681,-0.763085213,1,-0.446396681,-0.660492563
f62,-0.170738008,-0.563360527,-0.495090735,0.124250318,-0.590197884,-0.586234545,-0.371612757,-0.913577208,-0.919548534,0.246693915,-0.973551446,-0.709561163,0.008348159,-0.58090674
f63,-0.3098484,-0.386020503,-0.517487832,-0.040663321,-0.382338097,0.148890049,-0.407241372,-0.215577767,-0.269776878,-0.138857951,-0.773909772,0.305540489,-0.329988697,-0.607459933
f64,-0.304276742,-0.574774775,-0.388675551,-0.079903061,-1,-0.542103218,-0.366736619,-1,-1,-0.221473864,-1,-1,-0.240742517,-0.44046963
f65,-0.569656886,-0.001918049,-0.697082508,-0.208141854,-0.20125885,0.500619626,-0.649289379,-0.219594268,-0.273515856,-0.556071815,-0.774237556,0.37789054,-0.584919752,-0.702363016
f66,-0.171978984,-0.904060245,-0.421891419,0.159194396,-0.909058645,-0.89384735,-0.370928196,-0.962203266,-0.964814805,0.103677758,-0.277926758,-0.937828257,0.100350263,-0.667950963
f67,-0.442901443,-0.383182562,-0.664284751,-0.454900903,-0.385979574,0.183763509,-0.547121478,-0.166126592,-0.223742495,1,-0.779165076,0.464174764,-0.088984765,-0.722798975
f68,-0.563203088,-0.515950632,-0.623385475,-0.014811376,-0.957366414,-0.426271983,-0.578446247,-0.93970351,-0.943869646,-0.467779896,-1,-0.960719616,-0.519798298,-0.645237421
