,or4331,or4359,or4344,or4440,or4378,or4332,or2066,or4397,or567,or2135,or4328,or4329,or73,or4413,or2096,or2070,or2738,or1,or1885,or2055,or3300,or3583,or4388,or4375,or353,or4392,or2620,or4500,or2061,or2236,or2831,or1995,or4280,or2548,or2176,or2147,or2064,or2060,or4293,or4486,or2116,or191,or2265,or3021,or187,or3017,or2058,or2084,or1416,or2099,or2203,or1992,or2903,or1036,or4149,or4321,or2451,or2222,or2065,or1985,or2029,or568,or2149,or2617,or3114,or2080,or2090,or4387,or2734,or3186,or2124,or4319,or2455,or4322,or2111,or2059,or2266,or2900,or4412,or4434,or4333,or70,or470,or4399,or636,or4325,or4411,or2057,or2095,or4363,or356,or2126,or3681,or4374,or2069,or3397,or639,or1133,or285,or2228,or1319,or4350,or851,or2128,or922,or2133,or4316,or4379,or2016,or4362,or4360,or3680,or2148,or2549,or757,or2086,or2115,or2170,or4030,or2068,or2114,or2098,or2334,or3866,or4247,or4354,or4323,or4358,or4467,or4256,or3398,or2112,or2094,or1983,or2052,or4390,or4492,or4334
f1,-1,-1,-1,-1,-1,-1,-0.941912061,-1,0.018071803,-0.891085115,-1,-1,-0.734570391,-1,-0.948366277,-0.868495361,-1,-0.0104881,-0.251311013,-0.826542961,-1,-1,-1,-1,-0.804275918,-1,-1,-1,-0.867688584,-0.337636144,-1,-0.757966922,-1,-1,-0.862041146,-0.896732553,-0.924162969,-0.916901977,-1,-1,-0.845905607,-0.695280355,-1,-1,-0.453005244,-1,-0.80314643,-0.933844292,0.096409843,-0.746672045,1,-0.92900363,-1,-0.310859217,-1,-1,-1,-0.78019445,-0.909640984,-0.72972973,-0.640984268,-0.304971735,-0.909640984,-1,-1,-0.765227914,-0.766034691,-1,-1,-1,-0.889471561,-1,-1,-1,-0.439290036,-0.812020976,-1,-1,-1,-1,-1,-0.805486083,-0.446066962,-1,-0.801774909,-1,-1,-0.730536507,-0.904800323,-1,-0.731423961,-0.67970956,-1,-1,-0.859620815,-1,-0.727712787,0.09963695,-0.315156405,-0.737797499,-0.298104074,-1,-0.13501191,-0.831366759,-0.724679306,-0.920935861,-1,-1,-0.673255345,-1,-1,-1,-0.816054861,-1,-0.669717398,-0.878176684,-0.841871722,-0.892698669,-1,-0.819281969,-0.843485276,-0.789431222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.766034691,-0.800535554,-0.106091166,-0.723275514,-1,-1,-1
f2,-1,-1,-1,-1,-1,-1,-0.941747573,-1,0.014158576,-0.891585761,-1,-1,-0.735275081,-1,-0.948220065,-0.868122977,-1,-0.015533981,-0.261326861,-0.82605178,-1,-1,-1,-1,-0.804288026,-1,-1,-1,-0.867313916,-0.374595469,-1,-0.758899676,-1,-1,-0.86407767,-0.897249191,-0.924757282,-0.916666667,-1,-1,-0.846278317,-0.695631068,-1,-1,-0.45420712,-1,-0.802588997,-0.933656958,0.101132686,-0.746763754,1,-0.928802589,-1,-0.313673139,-1,-1,-1,-0.782874315,-0.909385113,-0.728964401,-1,-0.307690428,-0.913430421,-1,-1,-0.768608414,-0.767799353,-1,-1,-1,-0.889158576,-1,-1,-1,-0.444983819,-0.811488673,-1,-1,-1,-1,-1,-0.805582524,-0.447977346,-1,-0.802427184,-1,-1,-0.729773463,-0.905339806,-1,-0.732200647,-0.684466019,-1,-1,-0.860032362,-1,-0.728802589,0.095469256,-0.317061836,-0.738673139,-0.302588997,-1,-0.13688745,-0.83169838,-0.725420712,-0.920711974,-1,-1,-0.67394822,-1,-1,-1,-0.815533981,-1,-0.670500067,-0.877831715,-0.84223301,-0.894822006,-1,-0.819579288,-0.843851133,-0.796116505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.76618123,-0.801596982,-0.120550162,-0.722491909,-1,-1,-1
f3,-1,-1,-1,-1,-1,-1,-0.497398225,-1,-0.260177533,-0.295378023,-1,-1,-0.318334864,-1,-0.287725742,-0.39546985,-1,-0.272421182,-0.094888277,-0.51637588,-1,-1,-1,-1,-0.437710438,-1,-1,-1,-0.516069789,-0.160391797,-1,-0.202020202,-1,-1,-0.029078665,-0.361799816,-0.390878482,-0.48117539,-1,-1,-0.304560759,-0.309152127,-1,-1,-0.293847567,-1,-0.424548515,-0.431588613,-0.663911846,-0.256198347,-0.402816039,-0.235690236,-1,-0.040710132,-1,-1,-1,-0.094532211,-0.466789103,-0.469237833,-0.402816039,-0.260023617,-0.391796755,-1,-1,-0.093051729,-0.261095807,-1,-1,-1,-0.397000306,-1,-1,-1,-0.28466483,-0.497398225,-1,-1,-1,-1,-1,-0.410162228,-0.254055709,-1,-0.376492195,-1,-1,-0.410162228,-0.168350168,-1,-0.330578512,-0.212121212,-1,-1,-0.257116621,-1,-0.287725742,-0.225589226,-0.321097274,-0.267523722,-0.169880624,-1,-0.349335453,-0.198266934,-0.361187634,-0.36026936,-1,-1,-0.445056627,-1,-1,-1,-0.325374962,-1,-0.240540217,-0.323538414,-0.254973982,-0.103458831,-1,-0.413835323,-0.369146006,-0.06305479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.372206918,-0.150327702,-0.401591674,-0.313131313,-1,-1,-1
f4,-1,-1,-1,-1,-1,-1,-0.963822859,-1,0.802563866,-0.957904894,-1,-1,-0.818626077,-1,-0.958802,-0.900113499,-1,0.709992373,-0.148920807,-0.848017928,-1,-1,-1,-1,-0.801538358,-1,-1,-1,-0.865445204,-0.494675162,-1,-0.768948174,-1,-1,-0.814902175,-0.915113098,-0.939513139,-0.950669466,-1,-1,-0.924348766,-0.841328331,-1,-1,-0.260590022,-1,-0.935336413,-0.956168538,0.984271976,-0.742719259,-0.190849917,-0.954787362,-1,-0.218082126,-1,-1,-1,-0.761210347,-0.938688291,-0.866350853,-0.73627548,-0.366681977,-0.943035406,-1,-1,-0.659018489,-0.697987518,-1,-1,-1,-0.917249307,-1,-1,-1,-0.660212432,-0.848810799,-1,-1,-1,-1,-1,-0.858660159,-0.25863714,-1,-0.802848742,-1,-1,-0.916383692,-0.911936491,-1,-0.633346389,-0.621744317,-1,-1,-0.904807007,-1,-0.603426039,0.932180799,-0.316592143,-0.760840296,-0.206070436,-1,-0.248701191,-0.906449546,-0.615300294,-0.954334538,-1,-1,-0.77601419,-1,-1,-1,-0.908550926,-1,-0.550151881,-0.915689442,-0.913220267,-0.81428482,-1,-0.818215727,-0.87744005,-0.690217489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.890747965,-0.901560268,-0.342478517,-0.910501855,-1,-1,-1
f5,-1,-1,-1,-1,-1,-1,-0.965644701,-1,0.683186287,-0.962138878,-1,-1,-0.704749105,-1,-0.943233534,-0.899245469,-1,-0.033956973,-1,-0.84260656,-1,-1,-1,-1,-0.714869823,-1,-1,-1,-0.850011595,-0.583596582,-1,-1,-1,-1,-0.816750722,-0.897888573,-1,-0.893435004,-1,-1,-0.970615013,-0.760212472,-1,-1,-0.276677052,-1,-0.889803935,-1,-0.257563246,-0.789881783,-1,-0.943906413,-1,-0.216404763,-1,-1,-1,-1,-0.900342628,-0.866358863,-1,-0.775470642,-0.972751752,-1,-1,-0.721850368,-0.678593392,-1,-1,-1,-0.937200736,-1,-1,-1,-1,-0.801146101,-1,-1,-1,-1,-1,-0.75555107,-0.482200063,-1,-0.698968059,-1,-1,-0.853642243,-0.834330692,-1,-0.638946681,-0.673308915,-1,-1,-0.746792082,-1,-0.603295637,-0.201875236,-0.614491001,-0.628451698,-0.186856495,-1,-0.715088905,-0.901375708,-0.549946314,-0.971502449,-1,-1,-1,-1,-1,-1,-0.949027188,-1,-0.659922375,-0.931868977,-0.988749131,-0.922851092,-1,-0.848167586,-0.844557532,-0.468032403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.932764818,-0.805175283,-0.580189526,-0.805666497,-1,-1,-1
f6,-1,-1,-1,-1,-1,-1,-0.998270196,-1,-0.981888939,-0.997139707,-1,-1,-0.991091846,-1,-0.99889403,-0.997205007,-1,-0.982420115,-0.953313625,-0.995207034,-1,-1,-1,-1,-0.99170484,-1,-1,-1,-0.998037904,-0.968534452,-1,-1,-1,-1,-0.995565023,-0.995611223,-0.997655138,-0.998463773,-1,-1,-0.995126248,-0.994041701,-1,-1,-1,-1,-0.998110173,-0.997423878,-0.979093688,-0.992454628,-0.966917181,-0.999176395,-1,-0.935192498,-1,-1,-1,-0.992589031,-0.998078426,-0.996398178,-0.990910658,-0.993329701,-0.997732827,-1,-1,-1,-0.993464584,-1,-1,-1,-0.998190443,-1,-1,-1,-1,-0.986669258,-1,-1,-1,-1,-1,-0.990566866,-1,-1,-0.99222311,-1,-1,-0.996577043,-0.99701814,-1,-0.993795987,-0.990466464,-1,-1,-0.996163563,-1,-0.994631207,-0.976404001,-0.942166883,-0.980632754,-0.938998221,-1,-0.938071604,-0.983328775,-0.994677666,-0.997137384,-1,-1,-0.986429481,-1,-1,-1,-0.994640241,-1,-0.99399423,-0.997879429,-0.995525275,-0.997150031,-1,-0.994381364,-0.994428081,-0.993573245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.994437889,-0.998360594,-0.932661028,-0.994961063,-1,-1,-1
f7,-1,-1,-1,-1,-1,-1,-0.992286006,-1,-0.489025719,-0.99799367,-1,-1,-0.991352024,-1,-0.997872598,-0.997146168,-1,-0.597004341,-0.976425619,-0.998408773,-1,-1,-1,-1,-0.99308162,-1,-1,-1,-0.997492087,-0.960738191,-1,-0.998235813,-1,-1,-0.994897694,-0.911652282,-0.997803414,-0.995676012,-1,-1,-0.998650916,-0.994811215,-1,-1,-0.963678503,-1,-0.909957279,-0.999152498,-0.409931335,-0.990591003,-0.925419859,-0.999066019,-1,-0.977497968,-1,-1,-1,-0.987681047,-0.9987201,-0.770776761,-0.966411263,-0.93022219,-0.994863103,-1,-1,-0.997405607,-0.995399277,-1,-1,-1,-0.993531314,-1,-1,-1,-0.987097221,-0.988584672,-1,-1,-1,-1,-1,-0.99308162,-0.967137693,-1,-0.994499888,-1,-1,-0.9957279,-0.998771987,-1,-0.998270405,-0.995831676,-1,-1,-0.999411938,-1,-0.997647751,-0.362350174,-0.924955584,-0.970648771,-0.975007351,-1,-0.904237698,-0.999792428,-0.997111576,-0.999498417,-1,-1,-0.910320494,-1,-1,-1,-0.992337894,-1,-0.996584513,-0.994136673,-0.99991352,-0.992701109,-1,-0.99944653,-0.996143003,-0.997059688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.977117457,-0.998557222,-0.956448795,-0.990781258,-1,-1,-1
f8,-1,-1,-1,-1,-1,-1,-0.971844484,-1,0.037116839,-0.94920125,-1,-1,-0.652138849,-1,-0.963311939,-0.853301522,-1,0.078060419,-0.289255015,-0.711235593,-1,-1,-1,-1,-0.638899157,-1,-1,-1,-0.722735979,-0.51081824,-1,-0.716727041,-1,-1,-0.664440337,-0.888912934,-0.916638328,-0.948138042,-1,-1,-0.911825666,-0.746832891,-1,-1,-0.10010417,-1,-0.936279445,-0.936992506,-0.044646662,-0.638263383,-0.068518431,-0.935309654,-1,-0.24139588,-1,-1,-1,-0.698383819,-0.901162673,-0.836134951,-0.710201956,-0.135846144,-0.898477771,-1,-1,-0.475078464,-0.559538291,-1,-1,-1,-0.86850835,-1,-1,-1,-0.636039517,-0.715443395,-1,-1,-1,-1,-1,-0.74938674,-0.213280016,-1,-0.643757519,-1,-1,-0.89494069,-0.871743674,-1,-0.272421788,-0.536183339,-1,-1,-0.904284418,-1,-0.198347391,-0.015723647,-0.010230671,-0.774704123,-0.27727679,-1,0.061914601,-0.887480263,-0.231610605,-0.93904029,-1,-1,-0.771992338,-1,-1,-1,-0.871210726,-1,-0.076857722,-0.877444807,-0.887822844,-0.727408851,-1,-0.618850768,-0.838727108,-0.548701905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.863788434,-0.82173781,-0.311804832,-0.919315165,-1,-1,-1
f9,-1,-1,-1,-1,-1,-1,-0.968913986,-1,0.706559014,-0.9715918,-1,-1,-0.933898907,-1,-0.966507507,-0.943988501,-1,0.579173017,-0.287148315,-0.943373006,-1,-1,-1,-1,-0.91904011,-1,-1,-1,-0.959327713,-0.606529649,-1,-0.845859652,-1,-1,-0.924042767,-0.947923733,-0.963698725,-0.963391858,-1,-1,-0.947545215,-0.919979797,-1,-1,-0.504491409,-1,-0.951583813,-0.974817862,0.959527396,-0.848721292,-0.434901436,-0.973893152,-1,-0.391239183,-1,-1,-1,-0.844745524,-0.969452838,-0.914717844,-0.809947466,-0.616918702,-0.97592082,-1,-1,-0.819219825,-0.829227783,-1,-1,-1,-0.958018905,-1,-1,-1,-0.750500824,-0.942655026,-1,-1,-1,-1,-1,-0.939742585,-0.452397523,-1,-0.918587005,-1,-1,-0.945390983,-0.950125243,-1,-0.87678357,-0.747708486,-1,-1,-0.927319632,-1,-0.873255633,0.883418933,-0.611669337,-0.811242178,-0.361154229,-1,-0.56184455,-0.936631464,-0.873014838,-0.971711023,-1,-1,-0.831704739,-1,-1,-1,-0.946394686,-1,-0.862271262,-0.952227498,-0.944624551,-0.895823973,-1,-0.947871463,-0.923098676,-0.824587492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.928480145,-0.959496371,-0.510474571,-0.927749245,-1,-1,-1
f10,-1,-1,-1,-1,-1,-1,-0.989885367,-1,-0.986513823,-0.997639919,-1,-1,-0.998651382,-1,-0.997639919,-0.998651382,-1,-0.988873904,-0.998651382,-0.999662846,-1,-1,-1,-1,-0.998314228,-1,-1,-1,-0.998988537,-0.996291301,-1,-0.999662846,-1,-1,-0.998651382,-0.950438301,-0.998314228,-0.995954147,-1,-1,-0.998988537,-0.998988537,-1,-1,-0.998651382,-1,-0.93358058,-0.998988537,-0.985839514,-0.998314228,-0.995616993,-0.998988537,-1,-0.998651382,-1,-1,-1,-0.997591754,-0.998988537,-0.918408631,-0.99393122,-0.994419706,-0.995616993,-1,-1,-0.999662846,-0.999325691,-1,-1,-1,-0.996291301,-1,-1,-1,-0.998314228,-0.996291301,-1,-1,-1,-1,-1,-0.997639919,-0.997977073,-1,-0.998651382,-1,-1,-0.997639919,-0.999325691,-1,-0.999662846,-0.999325691,-1,-1,-0.999662846,-1,-0.999662846,-0.984153742,-0.9947755,-0.994268375,-0.998651382,-1,-0.993663786,-1,-0.999662846,-0.999325691,-1,-1,-0.980782198,-1,-1,-1,-0.995954147,-1,-0.999642049,-0.996628456,-1,-0.997977073,-1,-1,-0.998651382,-0.999662846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.989885367,-0.999322303,-0.99696561,-0.994942684,-1,-1,-1
