,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f1,-0.469947559,-1,-0.783783784,0.109915288,-1,-1,-0.697458653,0.173860428,0.106010488,-1,-1,-1,-1,-0.757160145,-1,-0.293263413,-1,-1,-1,-0.269060105,-0.628075837,-0.230334812
f2,-0.477346278,-1,-0.784789644,0.111100324,-1,-1,-0.701456311,0.175566343,0.106391586,-1,-1,-1,-1,-0.758899676,-1,-0.300970874,-1,-1,-1,-0.275889968,-0.636731392,-0.238673139
f3,-0.251300888,-1,-0.415365779,-0.519130701,-1,-1,-0.384450566,-0.504744414,-0.468319559,-1,-1,-1,-1,-0.374655647,-1,-0.338230793,-1,-1,-1,-0.272727273,-0.176002449,-0.193143557
f4,-0.331839216,-1,-0.794624668,0.733865868,-1,-1,-0.61346312,0.543531145,0.753273122,-1,-1,-1,-1,-0.743910761,-1,-1,-1,-1,-1,-0.476575118,-0.629834619,-0.023026799
f5,-0.324310475,-1,-0.684517336,0.157479073,-1,-1,-0.419074026,0.501264696,-0.003389929,-1,-1,-1,-1,-0.523667877,-1,-1,-1,-1,-1,-0.454551702,-0.664047264,-1
f6,-0.987355295,-1,-0.992608199,-0.939629798,-1,-1,-0.994434533,-0.943062563,-0.935732449,-1,-1,-1,-1,-0.990318055,-1,-1,-1,-1,-1,-0.97726116,-0.993579956,-0.990876073
f7,-0.992164934,-1,-0.99590086,-0.223653943,-1,-1,-0.994984174,-0.521836138,-0.283947628,-1,-1,-1,-1,-0.993738866,-1,-1,-1,-1,-1,-0.935866614,-0.988307937,-0.966048048
f8,-0.171029268,-1,-0.704383212,0.612446655,-1,-1,-0.331334386,0.394772674,0.691589099,-1,-1,-1,-1,-0.664667496,-1,-1,-1,-1,-1,-0.418887059,-0.407593669,-0.290394166
f9,-0.558580075,-1,-0.882180308,0.368028919,-1,-1,-0.827267655,0.239238971,0.357818047,-1,-1,-1,-1,-0.838564159,-1,-1,-1,-1,-1,-0.625346877,-0.813754372,-0.135382731
f10,-0.999325691,-1,-0.998988537,-0.978759272,-1,-1,-0.999325691,-0.985165206,-0.980445044,-1,-1,-1,-1,-0.998988537,-1,-1,-1,-1,-1,-0.994268375,-0.998651382,-0.998314228
