,or3867,or4150,or2169,or3018,or3584,or2735,or68,or3301,or351,or2452,or2615,or188,or1603,or4433,or2049,or1982,or754
f1,-1,-1,-0.555465914,-1,-1,-1,0.095925777,-1,0.100524405,-1,-1,-0.767970956,-0.649052037,-1,0.185155305,0.127067366,-0.731988705
f2,-1,-1,-0.574433657,-1,-1,-1,0.095873786,-1,0.101375405,-1,-1,-0.775242718,-0.66828479,-1,0.186084142,0.122168285,-0.740048544
f3,-1,-1,0.107438017,-1,-1,-1,-0.474441384,-1,-0.498928681,-1,-1,0.119375574,0.284052648,-1,-0.557086012,-0.258953168,0.048974594
f4,-1,-1,0.209833152,-1,-1,-1,0.337968336,-1,0.490293139,-1,-1,-0.316491271,0.132168984,-1,0.747972023,0.931639119,0.119186712
f5,-1,-1,0.642723169,-1,-1,-1,-0.209557239,-1,-0.153550442,-1,-1,-0.09488659,0.003123257,-1,0.679947767,0.158810332,-0.078674445
f6,-1,-1,-0.987095902,-1,-1,-1,-0.932119012,-1,-0.9338483,-1,-1,-0.990149514,-0.989322295,-1,-0.950082954,-0.975867405,-0.989998007
f7,-1,-1,-0.994032897,-1,-1,-1,-0.821851705,-1,-0.804555753,-1,-1,-0.986163239,-0.991386616,-1,0.319698359,-0.937994016,-0.988411713
f8,-1,-1,0.628912262,-1,-1,-1,0.806243489,-1,0.674989079,-1,-1,-0.019993951,0.794915824,-1,0.206070769,-0.171775933,0.957639706
f9,-1,-1,-0.256470478,-1,-1,-1,-0.182824875,-1,0.057676213,-1,-1,-0.606183139,-0.422474959,-1,0.553334567,0.960726084,-0.509242994
f10,-1,-1,-0.999662846,-1,-1,-1,-0.993594066,-1,-0.993594066,-1,-1,-0.999325691,-0.999662846,-1,-0.963924477,-0.998314228,-0.999662846
f11,-1,-1,0.140790855,-1,-1,-1,0.144056923,-1,-0.04770792,-1,-1,0.21311093,0.343287064,-1,-0.415373848,-0.636766593,0.482094949
f12,-1,-1,0.0218,-1,-1,-1,0.0154,-1,0.1798,-1,-1,-0.0404,-0.152,-1,0.4774,0.6876,-0.2708
f13,-1,-1,-0.994032897,-1,-1,-1,-0.821851705,-1,-0.804555753,-1,-1,-0.986163239,-0.991386616,-1,0.319698359,-0.937994016,-0.988411713
f14,-1,-1,-0.951396574,-1,-1,-1,-0.993412385,-1,-0.993412385,-1,-1,-0.977602108,-0.951870883,-1,-0.984374177,-0.581238472,-0.949301713
f15,-1,-1,0.621530744,-1,-1,-1,0.6622984,-1,0.603565402,-1,-1,-0.02333207,0.789459977,-1,0.108855816,-0.494692199,1
f16,-1,-1,-0.52159448,-1,-1,-1,0.150062637,-1,0.028895324,-1,-1,-0.689893825,-0.567042491,-1,-0.286303986,0.962273838,-0.642309983
f17,-0.974490526,-0.975691504,-0.322117383,-0.985071755,-0.989634734,-0.983963741,0.090256725,-0.985764892,-0.167262777,-0.99857394,-0.989804857,-0.601457915,-0.24955093,-0.979434828,-0.264718239,0.02453475,-0.310506296
f18,-0.98390153,-0.994538626,-0.419951974,-0.981461204,-0.988208871,-0.980085205,0.130421732,-0.996378503,1,-0.995649807,-0.974081215,-0.401470809,-0.213030167,-0.995379636,0.513825604,0.769548252,-0.229419181
f19,-0.989661164,-0.994774374,-0.29306008,-0.990497282,-0.994434503,-0.989791965,-0.801194463,-0.990375577,0.144412203,-0.99493383,-0.983715689,-0.878249068,-0.551951914,-0.99557908,-0.027668656,1,-0.691153037
f20,-0.969292304,-0.973513419,-0.363601464,-0.960814953,-0.968144518,-0.957906535,0.20521607,-0.968815408,-0.575093144,-0.972036019,-0.934792442,-0.664802438,-0.434508175,-0.977592151,1,0.204741257,-0.479653771
f21,-0.393030959,-0.494019688,-0.380751566,-0.440414382,-0.061555843,-0.398880444,0.048538622,-0.147053583,0.128914405,-0.951589614,-0.988237956,-0.527661795,-0.445151357,-0.571936808,0.560955115,0.591753653,-0.461069937
f22,-0.886164734,-0.77139289,-0.261656761,-0.919641008,-0.989550731,-0.913676549,-0.08650446,-0.948767152,-0.068513716,-0.962532309,-0.982683681,-0.605134186,-0.698472027,-0.806596646,0.175245357,1,-0.714393836
f23,-0.98066913,-0.974658192,0.159399996,-0.974481088,-0.980655115,-0.972587006,-0.363133887,-0.976321712,0.00548928,-0.987426062,-0.998433193,-0.428085796,-0.077020732,-0.978560637,0.270455106,1,-0.283867253
