,label
xor971,3
xor1386,3
xor3322,2
xor3824,0
xor1346,3
xor1795,2
xor3715,2
xor657,3
xor2424,2
xor3166,3
xor3240,3
xor1072,3
xor1433,2
xor1569,2
xor1886,1
xor2285,1
xor2491,2
xor2592,3
xor3173,2
xor3719,3
xor703,2
xor1114,3
xor1733,1
xor1848,2
xor2772,3
xor1852,2
xor2298,2
xor2611,3
xor464,2
xor532,3
xor2155,2
xor2787,3
xor3047,3
xor3190,3
xor3524,1
xor3610,2
xor3772,1
xor4056,2
xor390,2
xor771,2
xor1380,3
xor1741,1
xor2159,2
xor4029,1
xor531,3
xor3044,2
xor3574,2
xor3910,2
xor275,2
xor732,2
xor920,2
xor3058,2
xor3732,3
xor3800,0
xor2700,2
xor2959,3
xor378,2
xor3664,2
xor200,2
xor680,2
xor1002,2
xor2211,3
xor2698,2
xor2999,3
xor4076,2
xor465,2
xor756,2
xor1000,2
xor1040,3
xor1632,1
xor1745,1
xor2090,3
xor3888,2
xor805,2
xor3215,2
xor250,2
xor2235,2
xor2430,2
xor2848,2
xor2889,3
xor3493,2
xor1245,2
xor3789,1
xor3873,2
xor3894,1
xor1661,2
xor3695,1
xor2350,3
xor2450,3
xor2629,3
xor2829,2
xor682,2
xor3960,1
xor521,3
xor617,2
xor1535,2
xor1572,2
xor1854,2
xor3324,2
xor1823,2
xor2318,2
xor1635,2
xor2596,3
xor2737,2
xor2831,2
xor257,2
xor1280,2
xor1518,2
xor1533,2
xor1610,3
xor3773,2
xor3838,1
xor698,2
xor985,3
xor1859,2
xor354,2
xor1190,3
xor1598,2
xor1731,1
xor2528,2
xor596,3
xor1747,1
xor3270,3
xor155,1
xor1157,2
xor2119,2
xor2739,2
xor568,3
xor1484,1
xor2370,2
xor312,2
xor370,2
xor1722,1
xor2660,3
xor2998,2
xor3603,3
xor347,2
xor814,3
xor3317,2
xor3374,2
xor49,2
xor2274,2
xor2339,1
xor2390,1
xor525,3
xor559,3
xor2039,2
xor3700,1
xor4125,1
xor305,2
xor337,3
xor471,2
xor709,2
xor2591,3
xor2874,2
xor2897,3
xor105,2
xor538,3
xor620,3
xor1287,1
xor2027,1
xor2143,2
xor2671,3
xor3919,2
xor4134,2
xor381,2
xor976,2
xor1267,2
xor2606,3
xor2985,3
xor3522,2
xor569,3
xor601,2
xor2870,1
xor3143,2
xor3319,2
xor3815,1
xor875,3
xor3225,1
xor63,2
xor1059,2
xor1855,2
xor2648,3
xor2944,2
xor3358,3
xor3760,2
xor3110,3
xor4089,2
xor154,1
xor735,2
xor1352,2
xor2399,2
xor3342,1
xor3884,2
xor3938,2
xor861,3
xor950,3
xor993,2
xor1228,2
xor1373,3
xor2035,2
xor667,3
xor1917,1
xor2407,3
xor2936,3
xor2111,3
xor3405,3
xor770,2
xor2529,1
xor977,2
xor1260,2
xor1324,2
xor1976,1
xor2239,1
xor2325,2
xor269,3
xor1547,2
xor2017,2
xor2801,3
xor3015,2
xor3779,1
xor1516,2
xor2226,1
xor2541,2
xor3646,2
xor4142,1
xor624,2
xor883,3
xor1857,2
xor2029,1
xor3799,1
xor265,2
xor684,2
xor1878,1
xor2403,2
xor2542,2
xor2928,3
xor3250,3
xor3974,2
xor733,2
xor2241,2
xor3383,2
xor192,2
xor695,3
xor1585,2
xor2398,2
xor1099,2
xor2402,1
xor1343,3
xor2045,1
xor2290,2
xor3777,2
xor3100,3
xor3647,2
xor357,2
xor423,3
xor1892,2
xor2301,1
xor1012,2
xor3978,1
xor1613,2
xor686,3
xor847,3
xor1333,2
xor1797,2
xor2040,2
xor2062,2
xor2088,2
xor2096,2
xor2153,2
xor2308,2
xor3001,2
xor4065,2
xor222,2
xor919,2
xor1621,2
xor2095,2
xor2127,2
xor2455,2
xor3766,2
xor4084,3
xor397,2
xor492,3
xor768,2
xor1205,2
xor2055,2
xor3078,2
xor33,3
xor623,3
xor1311,2
xor1612,2
xor1843,2
xor1105,3
xor1567,1
xor2352,2
xor2821,2
xor2924,3
xor1082,2
xor2765,3
xor4147,1
xor864,3
xor979,2
xor1588,2
xor1672,2
xor2150,3
xor2309,2
xor3198,3
xor3443,3
xor3634,2
xor1734,1
xor3795,0
xor3887,2
xor1112,2
xor1521,3
xor2548,2
xor1115,2
xor2213,2
xor2824,3
xor3357,3
xor4138,2
xor1289,1
xor1492,2
xor1695,1
xor1866,2
xor3580,2
xor963,2
xor1923,1
xor2131,2
xor2887,2
xor905,3
xor1089,2
xor1802,2
xor3521,2
xor3966,2
xor162,2
xor1272,2
xor384,2
xor486,4
xor1273,3
xor1711,1
xor2626,3
xor2734,2
xor3662,2
xor181,2
xor209,1
xor266,2
xor4135,1
xor687,3
xor1004,2
xor1211,2
xor2105,3
xor2329,2
xor2847,2
xor3063,2
xor3619,2
xor1254,2
xor1659,2
xor2005,2
xor2943,3
xor94,2
xor1029,3
xor1558,2
xor1858,2
xor2386,2
xor2881,2
xor4086,2
xor158,2
xor704,2
xor2129,2
xor2628,3
xor2815,2
xor3476,2
xor517,3
xor899,3
xor2497,2
xor2625,2
xor3548,1
xor3901,2
xor1034,3
xor3199,2
xor3748,2
xor3982,1
xor1439,2
xor2075,3
xor2185,2
xor2537,2
xor3840,1
xor428,2
xor762,2
xor1438,3
xor1704,1
xor2068,2
xor2466,2
xor3439,3
xor186,2
xor212,1
xor1336,2
xor1702,1
xor2816,2
xor3290,2
xor942,3
xor1026,3
xor1078,3
xor2262,2
xor3126,2
xor987,2
xor1474,0
xor1506,3
xor1845,2
xor2013,2
xor2880,2
xor383,2
xor2011,2
xor519,3
xor541,3
xor1060,3
xor1757,0
xor2895,3
xor4016,2
xor636,2
xor2195,2
xor401,2
xor1490,2
xor1503,2
xor1780,1
xor906,2
xor2118,2
xor3511,2
xor819,3
xor1925,1
xor2917,2
xor3114,3
xor3683,2
xor553,3
xor2746,3
xor3291,3
xor1379,2
xor2192,2
xor1557,2
xor3669,2
xor233,2
xor1001,2
xor1061,2
xor2124,2
xor433,2
xor451,2
xor1035,2
xor1365,3
xor3039,2
xor3518,2
xor1125,2
xor1819,2
xor2007,1
xor2135,2
xor3074,2
xor3243,2
xor3330,2
xor3625,2
xor4026,1
xor163,1
xor341,2
xor1875,2
xor3864,2
xor267,3
xor986,3
xor1513,2
xor2137,2
xor2247,2
xor474,2
xor661,2
xor1448,1
xor2110,3
xor3168,3
xor3733,1
xor2001,2
xor2162,2
xor2946,3
xor2951,3
xor507,3
xor2448,3
xor3011,2
xor3782,1
xor374,3
xor2463,2
xor2617,3
xor366,2
xor1122,3
xor1832,1
xor3757,2
xor4040,0
xor3750,2
xor3869,2
xor37,2
xor346,2
xor1200,2
xor2176,2
xor3050,2
xor3842,0
xor52,2
xor1880,2
xor2769,3
xor2826,2
xor3427,2
xor2993,3
xor3102,3
xor897,3
xor1544,2
xor1589,3
xor1804,2
xor3084,3
xor1106,3
xor1642,1
xor2575,4
xor3874,2
xor1019,2
xor1839,2
xor2252,2
xor60,2
xor561,2
xor1658,2
xor3678,2
xor3786,1
xor3906,2
xor503,3
xor1092,3
xor1985,1
xor3504,2
xor328,2
xor2276,2
xor2722,3
xor3614,2
xor3947,2
xor4002,1
xor281,1
xor2557,4
xor3670,2
xor3790,1
xor140,2
xor1065,2
xor1131,3
xor1176,1
xor2123,2
xor2467,2
xor3388,2
xor3892,2
xor3987,1
xor1032,3
xor3203,2
xor410,2
xor872,2
xor1398,2
xor3140,2
xor4097,1
xor1767,0
xor2296,2
xor3228,2
xor3268,3
xor2553,1
xor4137,2
xor1997,3
xor2649,3
xor4014,2
xor3217,2
xor3545,1
xor946,2
xor1216,2
xor2305,2
xor2388,2
xor2864,2
xor3676,2
xor191,2
xor197,2
xor894,3
xor1033,3
